"key","name","level","hasData","fields"
"1001910","Préfecture: M'Diq-Fnideq","0","TRUE","01.573."
"1001920","Fnideq (Mun.)","0","TRUE","01.573.01.01."
"1001930","Martil (Mun.)","0","TRUE","01.573.01.03."
"1001940","M'Diq (Mun.)","0","TRUE","01.573.01.05."
"1001950","Cercle : -","0","TRUE","01.573.03."
"1001960","Allyene","0","TRUE","01.573.03.03."
"1001970","Belyounech","0","TRUE","01.573.03.05."
"1001980","Oriental","0","TRUE","2"
"1001990","Province: Berkane","0","TRUE","02.113."
"1002000","Ahfir (Mun.)","0","TRUE","02.113.01.01."
"1002010","Ain Erreggada (Mun.)","0","TRUE","02.113.01.05."
"1002020","Aklim (Mun.)","0","TRUE","02.113.01.07."
"1002030","Berkane (Mun.)","0","TRUE","02.113.01.09."
"1002040","Saidia (Mun.)","0","TRUE","02.113.01.25."
"1002050","Sidi Slimane Echcharraa (Mun.)","0","TRUE","02.113.01.29."
"1002060","Cercle : Ahfir","0","TRUE","02.113.03."
"1002070","Aghbal","0","TRUE","02.113.03.01."
"1002080","Fezouane","0","TRUE","02.113.03.07."
"1002090","Laatamna","0","TRUE","02.113.03.09."
"1002100","Madagh","0","TRUE","02.113.03.11."
"1002110","Dont Centre: Madagh","0","TRUE","02.113.03.11.3."
"1002120","Cercle : Aklim","0","TRUE","02.113.05."
"1002130","Boughriba","0","TRUE","02.113.05.03."
"1002140","Chouihia","0","TRUE","02.113.05.05."
"1002150","Rislane","0","TRUE","02.113.05.13."
"1002160","Sidi Bouhria","0","TRUE","02.113.05.15."
"1002170","Tafoughalt","0","TRUE","02.113.05.17."
"1002180","Zegzel","0","TRUE","02.113.05.19."
"1002190","Province: Driouch","0","TRUE","02.167."
"1002200","Ben Taieb (Mun.)","0","TRUE","02.167.01.03."
"1002210","Driouch (Mun.)","0","TRUE","02.167.01.09."
"1002220","Midar (Mun.)","0","TRUE","02.167.01.13."
"1002230","Cercle : Driouch","0","TRUE","02.167.03."
"1002240","Ain Zohra","0","TRUE","02.167.03.01."
"1002250","Ait Mait","0","TRUE","02.167.03.03."
"1002260","Amejjaou","0","TRUE","02.167.03.05."
"1002270","Dar El Kebdani","0","TRUE","02.167.03.07."
"1002280","Dont Centre: Dar El Kebdani","0","TRUE","02.167.03.07.3."
"1002290","Mtalssa","0","TRUE","02.167.03.09."
"1002300","Oulad Boubker","0","TRUE","02.167.03.11."
"1002310","Tazaghine","0","TRUE","02.167.03.13."
"1002320","Cercle : Rif","0","TRUE","02.167.09."
"1002330","Azlaf","0","TRUE","02.167.09.01."
"1002340","Bni Marghnine","0","TRUE","02.167.09.05."
"1002350","Boudinar","0","TRUE","02.167.09.07."
"1002360","Iferni","0","TRUE","02.167.09.09."
"1002370","Ijermaouas","0","TRUE","02.167.09.11."
"1002380","M'Hajer","0","TRUE","02.167.09.15."
"1002390","Ouardana","0","TRUE","02.167.09.17."
"1002400","Oulad Amghar","0","TRUE","02.167.09.19."
"1002410","Tafersit","0","TRUE","02.167.09.21."
"1002420","Dont Centre: Tafersit","0","TRUE","02.167.09.21.3."
"1002430","Talilit","0","TRUE","02.167.09.23."
"1002440","Temsamane","0","TRUE","02.167.09.25."
"1002450","Dont Centre: Kourouna","0","TRUE","02.167.09.25.3."
"1002460","Trougout","0","TRUE","02.167.09.27."
"1002470","Tsaft","0","TRUE","02.167.09.29."
"1002480","Dont Centre: Kassita","0","TRUE","02.167.09.29.3."
"1002490","Province: Figuig","0","TRUE","02.251."
"1002500","Bouarfa (Mun.)","0","TRUE","02.251.01.01."
"1002510","Figuig (Mun.)","0","TRUE","02.251.01.03."
"1002520","Cercle : Bni Tadjite","0","TRUE","02.251.03."
"1002530","Ain Chouater","0","TRUE","02.251.03.01."
"1002540","Bni Tadjite","0","TRUE","02.251.03.03."
"1002550","Dont Centre: Bni Tadjite","0","TRUE","02.251.03.03.3."
"1002560","Bouanane","0","TRUE","02.251.03.05."
"1002570","Dont Centre: Bouanane","0","TRUE","02.251.03.05.3."
"1002580","Bouchaouene","0","TRUE","02.251.03.07."
"1002590","Boumerieme","0","TRUE","02.251.03.09."
"1002600","Talsint","0","TRUE","02.251.03.11."
"1002610","Dont Centre: Talsint","0","TRUE","02.251.03.11.3."
"1002620","Ain Chair","0","TRUE","02.251.03.13."
"1002630","Cercle : Figuig","0","TRUE","02.251.05."
"1002640","Abbou Lakhal","0","TRUE","02.251.05.01."
"1002650","Bni Guil","0","TRUE","02.251.05.03."
"1002660","Maatarka","0","TRUE","02.251.05.05."
"1002670","Tendrara","0","TRUE","02.251.05.07."
"1002680","Dont Centre: Tendrara","0","TRUE","02.251.05.07.3."
"1002690","Province: Guercif","0","TRUE","02.265."
